id,the_geom,city,latitude,longitude,invalid_the_geom,storenumber,storetype,cartodb_id,state,zip,playplace,drivethru,archcard,freewifi,storeurl,cartodb_georef_status,COUNTY,Grocery_2009,Convenience_2009,Fast_Food_Restaurants_2009,Adult_Diabetes_p_2009,Adult_Obsesity_p_2009,Median_Household_Income_2009,Limited_Access_Populationp_2009,Limited_Access_Population_2009,Population_2009,Grocery_2014,Convenience_2014,Fast_Food_Restaurants_2014,Adult_Diabetes_2014,Adult_Obesity_2014,Median_Household_Income_2014,Limited_Access_p_2014,Limited_Access_2014,Population_2014,FF_per_capita_2009,FF_per_capita_2014,p_change_FF_Per_Capita,Grocery_per_capita_2009,Grocery_per_capita_2014,p_change_in_grocery_per_capita,p_change_in_Access,p_Change_in_Obesity,p_change_in_income
1,0101000020E6100000541C075E2DEB60C09F909DB7B1874C40,SITKA,57.060111,-135.349288,Point,7972,FREESTANDING,14168,AK,99835,FALSE,TRUE,TRUE,TRUE,http://www.mcalaska.com/7972,TRUE,Sitka,4,2,4,7,29.7,58000,18,1617,8881,4,2,4,6.7,28.7,68472,18,1632,8883,0.0004504,0.00045,-0.02,0.0004504,0.0004503,-0.02,0,-3.37,18.06
2,0101000020E610000056F31C916FD260C0C8EC2C7AA72E4D40,JUNEAU,58.364486,-134.576119,Point,6123,FREESTANDING,14169,AK,99801,TRUE,TRUE,TRUE,TRUE,http://www.mcalaska.com/6123,TRUE,Juneau,7,4,22,5.5,26.2,69844,32,10138,31275,6,9,31,5.9,28.6,82892,32,10063,32511,0.000703437,0.00095,35.55,0.000223821,0.00018455,-17.54,0,9.16,18.68
3,0101000020E61000009E42AED4B3425DC0F9156BB8C8354740,CLARKSTON,46.420188,-117.042226,Point,10610,FREESTANDING,8632,WA,99403,TRUE,TRUE,TRUE,TRUE,http://www.mcwashington.com/10610,TRUE,Asotin,5,4,9,10.8,29.2,39340,19,4212,21623,5,4,10,12.9,33.4,46573,19,4079,22177,0.000416223,0.00045,8.34,0.000231235,0.00022546,-2.5,0,14.38,18.39
4,0101000020E610000032022A1C41D25DC0B7ED7BD45F214740,RICHLAND,46.260737,-119.285224,Point,6556,FREESTANDING,13945,WA,99352,FALSE,TRUE,TRUE,TRUE,http://www.mcwashington.com/6556,TRUE,Benton,30,79,137,7.3,28,52417,20,43591,221339,30,86,160,9.6,30.1,60294,16,34547,243991,0.00061896,0.00066,5.95,0.000135539,0.00012296,-9.28,-20,7.5,15.03
5,0101000020E6100000624B8FA67AF25DC0A48CB800341C4740,PROSSER,46.220337,-119.788736,Point,11889,FREESTANDING,13886,WA,99350,TRUE,TRUE,TRUE,TRUE,http://www.mcwashington.com/11889,TRUE,Benton,30,79,137,7.3,28,52417,20,43591,221339,30,86,160,9.6,30.1,60294,16,34547,243991,0.00061896,0.00066,5.95,0.000135539,0.00012296,-9.28,-20,7.5,15.03
6,0101000020E6100000750305DEC9CA5DC024624A24D1694740,OTHELLO,46.826695,-119.168571,Point,12247,FREESTANDING,13950,WA,99344,FALSE,TRUE,TRUE,TRUE,http://www.mcwashington.com/12247,TRUE,Adams,49,114,270,6.3,24.8,52785,15,65746,441603,66,122,316,7.2,26.3,62991,15,66896,480446,0.000611409,0.00066,7.57,0.000110959,0.00013737,23.8,0,6.05,19.34
7,0101000020E610000024EF1CCA50CD5DC0772D211FF41C4740,KENNEWICK,46.2262,-119.208056,Point,14730,FREESTANDING,13946,WA,99336,TRUE,TRUE,TRUE,TRUE,http://www.mcwashington.com/14730,TRUE,Benton,30,79,137,7.3,28,52417,20,43591,221339,30,86,160,9.6,30.1,60294,16,34547,243991,0.00061896,0.00066,5.95,0.000135539,0.00012296,-9.28,-20,7.5,15.03
8,0101000020E61000009CF9D51C20CA5DC0F2ED5D83BE1A4740,KENNEWICK,46.208939,-119.15821,Point,11485,FREESTANDING,13948,WA,99336,TRUE,TRUE,TRUE,TRUE,http://www.mcwashington.com/11485,TRUE,Benton,30,79,137,7.3,28,52417,20,43591,221339,30,86,160,9.6,30.1,60294,16,34547,243991,0.00061896,0.00066,5.95,0.000135539,0.00012296,-9.28,-20,7.5,15.03
9,0101000020E6100000446D1B4641CE5DC0D40E7F4DD61A4740,KENNEWICK,46.209665,-119.222734,Point,5223,FREESTANDING,13949,WA,99336,TRUE,TRUE,TRUE,TRUE,http://www.mcwashington.com/5223,TRUE,Benton,30,79,137,7.3,28,52417,20,43591,221339,30,86,160,9.6,30.1,60294,16,34547,243991,0.00061896,0.00066,5.95,0.000135539,0.00012296,-9.28,-20,7.5,15.03
10,0101000020E610000009DFFB1BB4C75DC0008FA850DD1E4740,PASCO,46.241129,-119.120368,Point,4246,FREESTANDING,13943,WA,99301,TRUE,TRUE,TRUE,TRUE,http://www.mcwashington.com/4246,TRUE,Franklin,6,23,22,14.6,31.2,33649,10,3074,31704,8,16,18,13.9,33.2,38535,12,3663,31540,0.000693919,0.00057,-17.76,0.000189251,0.00025365,34.03,20,6.41,14.52
